Model,Train_R2,Test_R2,R2_Gap,Train_MAPE,Test_MAPE,MAPE_Gap,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
GradientBoosting,0.9999019992187576,0.960307866763624,0.039594132455133546,0.08015160308894352,1.4057252862400909,1.3255736831511473,6000.04278435244,107150.90712270509,7479.635194086762,154803.30629073427
CatBoost,0.9997485082471429,0.95983303061015,0.03991547763699288,0.12811651000812174,1.2942678650560309,1.166151355047909,9581.771392047962,98495.5119537126,11981.950510030394,155726.50778482054
XGBoost,0.9999655950145817,0.954198410596165,0.04576718441841676,0.04528847542030871,1.4642516172482793,1.4189631418279707,3361.8246957867245,112582.12557896186,4431.761053705689,166290.8244217761
LightGBM,0.999288169360759,0.9470445026512146,0.05224366670954439,0.15067887431405635,1.7613512005722993,1.610672326258243,11310.540062201255,132255.99332382678,20158.303807768185,178806.59682907222
RandomForest,0.9887798055065143,0.9258668641749954,0.06291294133151892,0.7164978062176957,2.00164525395161,1.2851474477339142,53584.38681572079,152141.5643588824,80032.3998999638,211560.3113176447
Prophet,0.09371118065488904,0.05779473942702984,0.0359164412278592,8.038015549171847,8.042762032170282,0.004746482998434942,592637.9544811778,589796.923436075,719281.61314022,754224.7403814797
